message_id,cleaned_text,timeline
129479,"آقا پسر ،رفيق مارو بلاگر واتساپ كردي جون مادرت ريپلاي كن
^Mobi",timeline_1
129480,"مامانم چندساله یه بازی میکنه به اسم گلمراد،
الان مرحله ۶۲۶۳ اس:) لیترالی مامانم پشت سر تولید کننده این بازیه. هر دفعه باید ۲۰ روز ۲۰ روز باید منتظر آپدیت جدیدش باشه:)",timeline_1
129481,"دارم از بیمار رگ میگیرم
میپرسه پسرم شما باد معده و اینا پیشتون عادیه ؟
گفتم آره چطور
گفت خدا رو شکر و گوزید :))))))))))",timeline_1
129485,وقتی تازه بدنیا اومدی و بابات به جای اینکه بگه این بی‌پدر باز بیدار شد میگه گود مورنیگ دارلینگ.,timeline_1
129488,با غذا دادن به اساتید اکوسیستم اکادمیا را بهم نریزید,timeline_1
129497,۹۰ درصد دلتنگیا از رو بیکاریه,timeline_1
129503,داداشمون دلش دریاست:))),timeline_1
129506,"اگر دنبال «مسیر» واقعی برای توسعه هستی، اینجا شروعشه.
آکادمی پرورش مدیران کسب‌وکار آینده فدک از میان دانشجویان و فارغ‌التحصیلان دانشگاه‌های برتر، برای ورود به برنامه هوشمند آموزشی ۳ ساله جذب می‌کند.
اهل چالشی؟ اگر در این رقابت برگزیده بشی، تو مسیر توسعه کنارتیم.
ارسال درخواست : از طریق جایگاه‌های شغلی کارآموزی و کارشناسی به نشانی ذیل",timeline_1
129415,"با دوستم اومدیم خرید
هرچی پسندید هی گفتم وای این زشته
این پیرزنیه،این قدیمیه
آخرش گفت عزیزم میشه خفه شی؟ میخوام برا تولدت انتخاب کنم:))))))))))))))))",timeline_1
129417,"یه بار داشتم برای یه شکست عشقی گریه میکردم. مامانم بهم گفت پاشو خودتو جمع کن بابا. باید جوون و سرزنده و شاداب باشی که وقتی عشق واقعیتو پیدا کردی بتونی باهاش زندگی کنی. خودتو بخاطر پسر مردم مریض کنی که تهش تو تنها بمونی و اون بره یکی دیگه رو پیدا کنه؟
That hit me hard",timeline_1
129419,دوستم رفته سونو و توی سینه‌ش فیبروم دیدن. تا اینجاش اوکیه. بدبختی اونجاست که استرس گرفته و به هر کدوممون میرسه سینه‌مون رو به زور تست میکنه(ببینه بافت سفت هست یا نه). وسط تست کردنمون هم میگه کسکشا خوشتون نیاد یه وقت :))))),timeline_1
129421,"عاشق زن بودنم
چون سه ماه یبار پریود می‌شدم رفتم دکتر
و الان ماهی سه‌بار پریود می‌شم",timeline_1
129422,"دسترسی به
پلتفرم های معتبر هوش مصنوعی( AI )
برای دانشجویان
در دوره ی امتحانات با حداقلِ هزینه ها
انجام وظیفه خواهد شد !
هر گونه مشکلی برای اشتراکِ تهیه شده پیش بیاد ، بدون قید و شرط و بدون هزینه جایگزین میشه تا در تایم امتحانات با خیال راحت بتونید از منابع نهایت استفاده رو داشته باشید !
جهت تهیه و کسب اطلاعات بیشتر :",timeline_1
129423,این دیگه آخرین راهه ، الهی ب امید خودت =),timeline_1
129429,"خدا کنه هیچ مامانی مریض نشه
هیچ مامانی بیمارستان نمونه",timeline_1
129431,"با صدای گریه داداش یک ماهه‌م از خواب بیدار شدم، رفتم کنارش دراز کشیدم، دستشو گرفتم،
آروم شد، خوابمون برد.
چند ساعت بعد چشمامو باز کردم دیدم ۱۷ سالش شده.",timeline_1
129434,تویی که فکر‌میکنی روز‌ِ کریسمس رفتیم تو 2026 که دیگه جشنش نگیر,timeline_1
129438,"من وقتی بخاطر دادگاه حالم بده و هیچ چیزی نمیتونه بخندونه منو
دوست دخترم:",timeline_1
129439,همسایه فقط همسایه ایرانی جدی. اومده دم خونه‌م میگه باربیکیو کردیم بوش پیچیده تو ساختمون اینم سهم شما:)),timeline_1
129441,لایف استایل فردی با پوست و موی چرب:,timeline_1
